player_id,player_name,team,date,opponent,result,rushing_attempts,rushing_yards,rushing_avg,rushing_td,rushing_lng,receiving_receptions,receiving_targets,receiving_yards
4890973,Ashton Jeanty,lv,Mon 11/17,vsDAL,L33-16,6.0,7.0,1.2,0.0,11.0,6,8.0,27.0
4890973,Ashton Jeanty,lv,Sun 11/23,vsCLE,L24-10,17.0,50.0,2.9,0.0,12.0,8,8.0,58.0
4890973,Ashton Jeanty,lv,Sun 11/30,@LAC,L31-14,15.0,31.0,2.1,0.0,9.0,6,8.0,30.0
4890973,Ashton Jeanty,lv,Regular Season Stats,181,635,,,,,,251,,
4430737,Kyren Williams,lar,Sun 9/7,vsHOU,W14-9,18.0,66.0,3.7,1.0,9.0,1,2.0,3.0
4430737,Kyren Williams,lar,Sun 9/14,@TEN,W33-19,17.0,66.0,3.9,0.0,15.0,2,2.0,14.0
4430737,Kyren Williams,lar,Sun 9/21,@PHI,L33-26,20.0,94.0,4.7,0.0,13.0,2,3.0,18.0
4430737,Kyren Williams,lar,Sun 9/28,vsIND,W27-20,13.0,77.0,5.9,0.0,11.0,3,4.0,17.0
4430737,Kyren Williams,lar,Thu 10/2,vsSF,L26-23 OT,14.0,65.0,4.6,0.0,20.0,8,10.0,66.0
4430737,Kyren Williams,lar,Sun 10/12,@BAL,W17-3,13.0,50.0,3.8,1.0,13.0,2,2.0,37.0
4430737,Kyren Williams,lar,Sun 10/19,vsJAX,W35-7,12.0,54.0,4.5,0.0,10.0,2,3.0,11.0
4430737,Kyren Williams,lar,Sun 11/2,vsNO,W34-10,25.0,114.0,4.6,1.0,15.0,0,0.0,0.0
4430737,Kyren Williams,lar,Sun 11/9,@SF,W42-26,14.0,73.0,5.2,2.0,12.0,2,3.0,11.0
4430737,Kyren Williams,lar,Sun 11/16,vsSEA,W21-19,12.0,91.0,7.6,1.0,34.0,1,2.0,5.0
4430737,Kyren Williams,lar,Sun 11/23,vsTB,W34-7,12.0,46.0,3.8,0.0,9.0,1,1.0,2.0
4430737,Kyren Williams,lar,Sun 11/30,@CAR,L31-28,13.0,72.0,5.5,1.0,12.0,0,1.0,0.0
4430737,Kyren Williams,lar,Regular Season Stats,183,868,,,,,,184,,
